FBgn,X114,X115,X116,X117
FBgn0001104,0.379,0.281,0.225,0.114
FBgn0000044,0.42,0.209667,0.206111,0.163889
FBgn0035720,0.187333,0.167333,0.169667,0.476
FBgn0003731,0.2475,0.253,0.32,0.179
FBgn0029506,0.216,0.183,0.342,0.259
FBgn0010638,0.072,0.212333,0.573,0.142667
FBgn0028689,0.35,0.164,0.174,0.312
FBgn0031871,0.147,0.3325,0.4105,0.109
FBgn0040227,0.264,0.1355,0.1325,0.4675
FBgn0032799,0.1285,0.32,0.415,0.1365
FBgn0037443,0.106,0.309,0.4425,0.142
FBgn0028475,0.1132,0.3008,0.4354,0.1506
FBgn0003732,0.061,0.070625,0.167625,0.700875
FBgn0028691,0.417,0.1535,0.158,0.272
FBgn0002526,0.159077,0.288385,0.385231,0.167538
FBgn0013773,0.0995,0.32325,0.45225,0.1245
FBgn0013772,0.104667,0.35,0.407333,0.138167
FBgn0033984,0.341,0.272,0.237,0.15
FBgn0003261,0.131333,0.126,0.164333,0.579
FBgn0017397,0.116,0.102,0.081,0.7
FBgn0032679,0.307333,0.0933333,0.0906667,0.508667
FBgn0028684,0.462,0.1605,0.1315,0.246
FBgn0025608,0.1372,0.348,0.3852,0.1296
FBgn0032704,0.1315,0.3135,0.4,0.155
FBgn0032689,0.29,0.334333,0.198333,0.177
FBgn0039296,0.08925,0.314,0.476,0.12075
FBgn0039304,0.122,0.35,0.4085,0.1185
FBgn0032746,0.091,0.317,0.466,0.126
FBgn0027090,0.258,0.15,0.2105,0.381
FBgn0034583,0.361,0.244,0.219,0.176
FBgn0001105,0.393,0.3635,0.1615,0.0815
FBgn0037051,0.257,0.118,0.143,0.483
FBgn0035630,0.21725,0.091,0.19075,0.500917
FBgn0011341,0.373,0.216,0.222,0.188
FBgn0016122,0.112333,0.282333,0.463,0.142333
FBgn0032721,0.278,0.1985,0.248,0.2765
FBgn0036286,0.1034,0.337,0.4286,0.131
FBgn0036299,0.273,0.2345,0.324667,0.167667
FBgn0010894,0.251,0.115,0.392,0.242
FBgn0004888,0.36,0.0975,0.07,0.4725
FBgn0015745,0.111333,0.179667,0.3055,0.4035
FBgn0035588,0.227,0.077,0.18,0.517
FBgn0041775,0.182667,0.092,0.0953333,0.63
FBgn0002031,0.369222,0.0785556,0.0838889,0.468222
FBgn0011661,0.357667,0.145333,0.236667,0.260667
FBgn0034420,0.154,0.294,0.381,0.172
FBgn0029979,0.21,0.136,0.124,0.531
FBgn0023213,0.3045,0.144,0.12775,0.424
FBgn0037240,0.2128,0.2776,0.3386,0.1708
FBgn0035471,0.075,0.1585,0.6335,0.133
FBgn0015324,0.3585,0.29225,0.19175,0.1575
FBgn0031408,0.163,0.284,0.274,0.28
FBgn0037470,0.292,0.149,0.124,0.435
FBgn0029969,0.325,0.0945,0.124,0.457
FBgn0016697,0.405,0.171,0.1665,0.257
FBgn0010620,0.269,0.201,0.255,0.274
FBgn0004922,0.228375,0.1655,0.144875,0.460875
FBgn0036316,0.3435,0.2795,0.227,0.15
FBgn0014007,0.317,0.2995,0.252,0.131
FBgn0037374,0.084,0.341,0.444,0.131
FBgn0028690,0.362,0.16,0.139,0.338
FBgn0013954,0.515,0.2415,0.119,0.1245
FBgn0010774,0.0596667,0.0833333,0.115667,0.742
FBgn0031830,0.333,0.071,0.089,0.506
FBgn0037467,0.1123,0.2968,0.4038,0.187
FBgn0040813,0.222,0.284333,0.331,0.162333
FBgn0039928,0.195,0.272333,0.385667,0.147
FBgn0016724,0.209971,0.223412,0.216029,0.350618
FBgn0025741,0.283038,0.284538,0.293538,0.138692
FBgn0031842,0.115625,0.416125,0.315875,0.152625
